name-version.extension*,license*,copyrights*,end-of-support,dependencies,language,repository,email,URL
fr.opensagres.xdocreport.document.docx-2.0.2.jar,MIT,"",,,,,,
guava-20.0.jar,Apache-2.0,"",,,,,,
httpcore-4.4.14.jar,Apache-2.0,"",,,,,,
istack-commons-runtime-3.0.11.jar,Apache-2.0,"",,,,,,
jaxb-runtime-2.3.3.jar,CDDL 1.1,"",,,,,,
jaxb-svg11-1.0.2.jar,Apache-2.0,"",,,,,,
jaxp-api-1.4.5.jar,CDDL 1.1,"",,,,,,
jcl-over-slf4j-1.7.30.jar,MIT,"",,,,,,
json-simple-1.1.jar,Apache-2.0,"",,,,,,
lorem-2.1.jar,MIT,"",,,,,,
mbassador-1.2.4.2.jar,MIT,"",,,,,,
poi-4.0.1.jar,Apache-2.0,"",,,,,,
poi-ooxml-4.0.1.jar,Apache-2.0,"",,,,,,
serializer-2.7.2.jar,Apache-2.0,"",,,,,,
slf4j-api-1.7.30.jar,MIT,"",,,,,,
slf4j-log4j12-1.7.30.jar,MIT,"",,,,,,
stringtemplate-3.2.1.jar,BSD,"",,,,,,
wmf2svg-0.9.8.jar,Apache-2.0,"",,,,,,
xalan-2.7.2.jar,Apache-2.0,"",,,,,,
xmlgraphics-commons-2.3.jar,Apache-2.0,"",,,,,,
